TimePeriodLabel,date,cases,deaths,newcases,newdeaths,Indicator,Group,State,Subgroup,Phase,TimePeriod,TimePeriodStartDate,TimePeriodEndDate,Value,LowCI,HighCI,ConfidenceInterval,QuartileRange,SymptomType,Subgroup2
Apr 23 - May 5,4/23/2020,873112,49228,33776,2169,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,4/23/2020,873112,49228,33776,2169,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,4/23/2020,873112,49228,33776,2169,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,4/24/2020,909853,51360,36741,2132,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,4/24/2020,909853,51360,36741,2132,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,4/24/2020,909853,51360,36741,2132,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,4/25/2020,944261,53327,34408,1967,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,4/25/2020,944261,53327,34408,1967,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,4/25/2020,944261,53327,34408,1967,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,4/30/2020,1075756,63140,30357,2210,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,4/30/2020,1075756,63140,30357,2210,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,4/30/2020,1075756,63140,30357,2210,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,5/1/2020,1109726,64902,33970,1762,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
