TimePeriodLabel,date,cases,deaths,newcases,newdeaths
Apr 23 - May 5,4/23/2020,873112,49228,33776,2169
Apr 23 - May 5,4/24/2020,909853,51360,36741,2132
Apr 23 - May 5,4/25/2020,944261,53327,34408,1967
Apr 23 - May 5,4/30/2020,1075756,63140,30357,2210
Apr 23 - May 5,5/1/2020,1109726,64902,33970,1762
Apr 23 - May 5,5/2/2020,1139200,66485,29474,1583
Apr 23 - May 5,5/3/2020,1165340,67816,26140,1331
Apr 23 - May 5,5/4/2020,1187302,68905,21962,1089
Apr 23 - May 5,5/5/2020,1211011,71139,23709,2234
Apr 23 - May 5,5/6/2020,1235517,73847,24506,2708
Apr 23 - May 5,4/28/2020,1018844,58416,24651,2394
Apr 23 - May 5,4/29/2020,1045399,60930,26555,2514
Apr 23 - May 5,4/26/2020,970996,54580,26735,1253
Apr 23 - May 5,4/27/2020,994193,56022,23197,1442
Aug 19 - Aug 31,8/19/2020,5541433,173093,43013,1295
Aug 19 - Aug 31,8/20/2020,5587462,174136,46029,1043
Aug 19 - Aug 31,8/22/2020,5681517,176247,45026,950
Aug 19 - Aug 31,8/23/2020,5713850,176693,32333,446
Aug 19 - Aug 31,8/24/2020,5754254,177197,40404,504
Aug 19 - Aug 31,8/21/2020,5636491,175297,49029,1161
Aug 19 - Aug 31,8/29/2020,5975540,182610,44610,871
Aug 19 - Aug 31,8/30/2020,6008970,182984,33430,374
Aug 19 - Aug 31,8/31/2020,6045455,183472,36485,488
Aug 19 - Aug 31,9/1/2020,6089504,184563,44049,1091
Aug 19 - Aug 31,8/28/2020,5930930,181739,46564,1010
Aug 19 - Aug 31,8/25/2020,5793437,178410,39183,1213
Aug 19 - Aug 31,8/26/2020,5838756,179603,45319,1193
Aug 19 - Aug 31,8/27/2020,5884366,180729,45610,1126
Dec 9 - Dec 21,12/23/2020,18513204,326424,227788,3412
Dec 9 - Dec 21,12/15/2020,16773586,304041,202971,3025
Dec 9 - Dec 21,12/16/2020,17018628,307652,245042,3611
Dec 9 - Dec 21,12/17/2020,17257055,310950,238427,3298
Dec 9 - Dec 21,12/18/2020,17508278,313820,251223,2870
Dec 9 - Dec 21,12/19/2020,17702197,316381,193919,2561
Dec 9 - Dec 21,12/20/2020,17882143,317810,179946,1429
Dec 9 - Dec 21,12/21/2020,18083756,319773,201613,1963
Dec 9 - Dec 21,12/22/2020,18285416,323012,201660,3239
Dec 9 - Dec 21,12/9/2020,15472050,289830,219736,3156
Dec 9 - Dec 21,12/10/2020,15697271,292771,225221,2941
Dec 9 - Dec 21,12/11/2020,15977838,295726,280567,2955
Dec 9 - Dec 21,12/12/2020,16185267,297981,207429,2255
Dec 9 - Dec 21,12/13/2020,16369491,299338,184224,1357
Dec 9 - Dec 21,12/14/2020,16570615,301016,201124,1678
Dec 9 - Dec 21,12/28/2020,19365740,335152,189066,1899
Dec 9 - Dec 21,12/29/2020,19566832,338780,201092,3628
Dec 9 - Dec 21,12/30/2020,19795855,342588,229023,3808
Dec 9 - Dec 21,12/31/2020,20026890,346050,231035,3462
Dec 9 - Dec 21,1/1/2021,20174150,347970,147260,1920
Dec 9 - Dec 21,1/2/2021,20465532,350343,291382,2373
Dec 9 - Dec 21,1/3/2021,20667499,351694,201967,1351
Dec 9 - Dec 21,1/4/2021,20919461,353743,251962,2049
Dec 9 - Dec 21,1/5/2021,21154488,357432,235027,3689
Dec 9 - Dec 21,12/24/2020,18706752,329248,193548,2824
Dec 9 - Dec 21,12/25/2020,18807725,330377,100973,1129
Dec 9 - Dec 21,12/26/2020,19024581,332023,216856,1646
Dec 9 - Dec 21,12/27/2020,19176674,333253,152093,1230
Jan 20 - Feb 1,1/24/2021,25178356,419219,129522,1815
Jan 20 - Feb 1,1/26/2021,25485678,425223,151617,4097
Jan 20 - Feb 1,1/27/2021,25641317,429326,155639,4103
Jan 20 - Feb 1,1/28/2021,25806567,433194,165250,3868
Jan 20 - Feb 1,1/25/2021,25334061,421126,155705,1907
Jan 20 - Feb 1,1/30/2021,26106136,439435,133905,2641
Jan 20 - Feb 1,1/31/2021,26219647,441299,113511,1864
Jan 20 - Feb 1,2/1/2021,26359498,443249,139851,1950
Jan 20 - Feb 1,1/29/2021,25972231,436794,165664,3600
Jan 20 - Feb 1,1/20/2021,24499015,406216,186916,4380
Jan 20 - Feb 1,1/21/2021,24689149,410351,190134,4135
Jan 20 - Feb 1,1/22/2021,24880891,414082,191742,3731
Jan 20 - Feb 1,1/23/2021,25048834,417404,167943,3322
Jan 6 - Jan 18,1/10/2021,22451610,374440,208336,1777
Jan 6 - Jan 18,1/11/2021,22674554,376488,222944,2048
Jan 6 - Jan 18,1/12/2021,22904249,380894,229695,4406
Jan 6 - Jan 18,1/13/2021,23133567,384824,229318,3930
Jan 6 - Jan 18,1/14/2021,23372166,388804,238599,3980
Jan 6 - Jan 18,1/15/2021,23613101,392553,240935,3749
Jan 6 - Jan 18,1/16/2021,23814760,395894,201659,3341
Jan 6 - Jan 18,1/17/2021,23984382,397624,169622,1730
Jan 6 - Jan 18,1/18/2021,24127029,399065,142647,1441
Jan 6 - Jan 18,1/6/2021,21410248,361396,255760,3964
Jan 6 - Jan 18,1/7/2021,21690526,365507,280278,4111
Jan 6 - Jan 18,1/8/2021,21991145,369402,300619,3895
Jan 6 - Jan 18,1/9/2021,22243274,372663,252129,3261
Jan 6 - Jan 18,1/19/2021,24312099,401836,185070,2771
July 16 - July 21,8/16/2020,5417664,169914,42137,514
July 16 - July 21,8/17/2020,5455187,170449,37523,535
July 16 - July 21,8/18/2020,5498420,171798,43233,1349
July 16 - July 21,7/23/2020,4050036,144283,70006,1116
July 16 - July 21,7/24/2020,4123561,145429,73525,1146
July 16 - July 21,7/25/2020,4190337,146313,66776,884
July 16 - July 21,7/26/2020,4244554,146753,54217,440
July 16 - July 21,7/27/2020,4303735,148449,59181,1696
July 16 - July 21,7/28/2020,4366851,149776,63116,1327
July 16 - July 21,7/16/2020,3589477,138285,75687,958
July 16 - July 21,7/17/2020,3660400,139186,70923,901
July 16 - July 21,7/18/2020,3722851,139961,62451,775
July 16 - July 21,7/19/2020,3785126,140373,62275,412
July 16 - July 21,7/20/2020,3845014,140904,59888,531
July 16 - July 21,7/21/2020,3910291,142031,65277,1127
July 16 - July 21,7/22/2020,3980030,143167,69739,1136
July 16 - July 21,8/5/2020,4834047,158554,53723,1253
July 16 - July 21,8/6/2020,4891561,159625,57514,1071
July 16 - July 21,8/7/2020,4952718,160981,61157,1356
July 16 - July 21,8/8/2020,5007958,161947,55240,966
July 16 - July 21,8/9/2020,5056438,162486,48480,539
July 16 - July 21,8/10/2020,5103611,163023,47173,537
July 16 - July 21,7/29/2020,4433633,151172,66782,1396
July 16 - July 21,7/30/2020,4502581,152433,68948,1261
July 16 - July 21,7/31/2020,4571669,153862,69088,1429
July 16 - July 21,8/1/2020,4628497,154917,56828,1055
July 16 - July 21,8/2/2020,4679291,155337,50794,420
July 16 - July 21,8/3/2020,4726775,155945,47484,608
July 16 - July 21,8/4/2020,4780324,157301,53549,1356
July 16 - July 21,8/13/2020,5265307,167165,54061,1213
July 16 - July 21,8/14/2020,5324784,168341,59477,1176
July 16 - July 21,8/11/2020,5156968,164474,53357,1451
July 16 - July 21,8/12/2020,5211246,165952,54278,1478
July 16 - July 21,8/15/2020,5375527,169400,50743,1059
July 2 - July 7,7/6/2020,2958098,130332,47316,391
July 2 - July 7,7/7/2020,3012182,131290,54084,958
July 2 - July 7,7/2/2020,2758855,128827,55559,723
July 2 - July 7,7/3/2020,2816009,129418,57154,591
July 2 - July 7,7/4/2020,2866015,129679,50006,261
July 2 - July 7,7/8/2020,3071637,132238,59455,948
July 2 - July 7,7/5/2020,2910782,129941,44767,262
July 9 - July 14,7/9/2020,3131526,133079,59889,841
July 9 - July 14,7/10/2020,3199753,133907,68227,828
July 9 - July 14,7/11/2020,3260474,134582,60721,675
July 9 - July 14,7/13/2020,3379846,135402,61567,425
July 9 - July 14,7/14/2020,3445448,136356,65602,954
July 9 - July 14,7/15/2020,3513790,137327,68342,971
July 9 - July 14,7/12/2020,3318279,134977,57805,395
June 11 - June 16,6/13/2020,2087327,115451,25334,692
June 11 - June 16,6/11/2020,2036500,113980,23202,877
June 11 - June 16,6/12/2020,2061993,114759,25493,779
June 11 - June 16,6/17/2020,2177114,117746,25655,761
June 11 - June 16,6/14/2020,2106457,115768,19130,317
June 11 - June 16,6/15/2020,2126574,116216,20117,448
June 11 - June 16,6/16/2020,2151459,116985,24885,769
June 18 - June 23,6/21/2020,2294413,119974,26379,257
June 18 - June 23,6/22/2020,2324879,120334,30466,360
June 18 - June 23,6/23/2020,2359939,121167,35060,833
June 18 - June 23,6/24/2020,2396928,121934,36989,767
June 18 - June 23,6/20/2020,2268034,119717,32025,546
June 18 - June 23,6/18/2020,2205173,118473,28059,727
June 18 - June 23,6/19/2020,2236009,119171,30836,698
June 25 - June 30,6/26/2020,2483629,125033,45528,633
June 25 - June 30,6/25/2020,2438101,124400,41173,2466
June 25 - June 30,6/30/2020,2653321,127462,48389,1300
June 25 - June 30,6/27/2020,2525928,125544,42299,511
June 25 - June 30,6/28/2020,2565436,125815,39508,271
June 25 - June 30,6/29/2020,2604932,126162,39496,347
June 25 - June 30,7/1/2020,2703296,128104,49975,642
June 4 - June 9,6/4/2020,1883593,108192,21616,1008
June 4 - June 9,6/8/2020,1971641,111144,18207,722
June 4 - June 9,6/9/2020,1990446,112174,18805,1030
June 4 - June 9,6/10/2020,2013298,113103,22852,929
June 4 - June 9,6/6/2020,1934818,110032,22516,728
June 4 - June 9,6/7/2020,1953434,110422,18616,390
June 4 - June 9,6/5/2020,1912302,109304,28709,1112
May 14 - May 19,5/14/2020,1424856,85906,26962,1738
May 14 - May 19,5/15/2020,1451093,87499,26237,1593
May 14 - May 19,5/16/2020,1474752,88724,23659,1225
May 14 - May 19,5/17/2020,1493766,89568,19014,844
May 14 - May 19,5/18/2020,1515593,90414,21827,846
May 14 - May 19,5/19/2020,1536570,91934,20977,1520
May 14 - May 19,5/20/2020,1559640,93411,23070,1477
May 21 - May 26,5/21/2020,1585373,94722,25733,1311
May 21 - May 26,5/27/2020,1708211,100422,18744,1485
May 21 - May 26,5/22/2020,1609172,96010,23799,1288
May 21 - May 26,5/23/2020,1631440,97060,22268,1050
May 21 - May 26,5/24/2020,1651471,97680,20031,620
May 21 - May 26,5/25/2020,1670571,98190,19100,510
May 21 - May 26,5/26/2020,1689467,98937,18896,747
May 28 - June 2,5/29/2020,1755271,102812,24548,1190
May 28 - June 2,5/30/2020,1778668,103775,23397,963
May 28 - June 2,5/31/2020,1799302,104379,20634,604
May 28 - June 2,5/28/2020,1730723,101622,22512,1200
May 28 - June 2,6/2/2020,1841990,106195,20791,1082
May 28 - June 2,6/3/2020,1861977,107184,19987,989
May 28 - June 2,6/1/2020,1821199,105113,21897,734
May 7 - May 12,5/7/2020,1263995,75805,28478,1958
May 7 - May 12,5/8/2020,1291643,77380,27648,1575
May 7 - May 12,5/13/2020,1397894,84168,21145,1768
May 7 - May 12,5/9/2020,1316511,78834,24868,1454
May 7 - May 12,5/10/2020,1336828,79766,20317,932
May 7 - May 12,5/11/2020,1354449,80748,17621,982
May 7 - May 12,5/12/2020,1376749,82400,22300,1652
Nov 11 - Nov 23,11/11/2020,10474277,241693,142885,1431
Nov 11 - Nov 23,11/12/2020,10637917,242865,163640,1172
Nov 11 - Nov 23,11/13/2020,10819414,244255,181497,1390
Nov 11 - Nov 23,11/18/2020,11614116,250415,172283,1924
Nov 11 - Nov 23,11/19/2020,11801631,252376,187515,1961
Nov 11 - Nov 23,11/20/2020,12000512,254333,198881,1957
Nov 11 - Nov 23,11/21/2020,12172457,255758,171945,1425
Nov 11 - Nov 23,11/22/2020,12313295,256601,140838,843
Nov 11 - Nov 23,11/23/2020,12493028,257639,179733,1038
Nov 11 - Nov 23,11/24/2020,12670931,259848,177903,2209
Nov 11 - Nov 23,11/16/2020,11280194,246884,166560,796
Nov 11 - Nov 23,11/17/2020,11441833,248491,161639,1607
Nov 11 - Nov 23,11/14/2020,10978447,245465,159033,1210
Nov 11 - Nov 23,11/15/2020,11113634,246088,135187,623
Nov 25 - Dec 7,11/25/2020,12851603,262161,180672,2313
Nov 25 - Dec 7,11/26/2020,12954496,263339,102893,1178
Nov 25 - Dec 7,12/1/2020,13799999,270639,184260,2608
Nov 25 - Dec 7,12/2/2020,14001210,273525,201211,2886
Nov 25 - Dec 7,12/3/2020,14218973,276381,217763,2856
Nov 25 - Dec 7,12/4/2020,14450360,279018,231387,2637
Nov 25 - Dec 7,12/5/2020,14656033,281208,205673,2190
Nov 25 - Dec 7,12/6/2020,14828141,282319,172108,1111
Nov 25 - Dec 7,12/7/2020,15032433,283853,204292,1534
Nov 25 - Dec 7,12/8/2020,15252314,286674,219881,2821
Nov 25 - Dec 7,11/30/2020,13615739,268031,167839,1270
Nov 25 - Dec 7,11/27/2020,13160382,264751,205886,1412
Nov 25 - Dec 7,11/28/2020,13311528,265943,151146,1192
Nov 25 - Dec 7,11/29/2020,13447900,266761,136372,818
Oct 14 - Oct 26,10/16/2020,8113720,218476,70463,891
Oct 14 - Oct 26,10/14/2020,7977904,216792,59853,1009
Oct 14 - Oct 26,10/15/2020,8043257,217585,65353,793
Oct 14 - Oct 26,10/20/2020,8340397,220987,60594,929
Oct 14 - Oct 26,10/21/2020,8404634,222195,64237,1208
Oct 14 - Oct 26,10/22/2020,8479762,223023,75128,828
Oct 14 - Oct 26,10/23/2020,8565059,223953,85297,930
Oct 14 - Oct 26,10/24/2020,8643640,224825,78581,872
Oct 14 - Oct 26,10/25/2020,8703355,225164,59715,339
